Núm. venta,Fecha,Patrón,Categoría,Dificultad,Tamaño,Núm. ovillos,Precio (€),Precio venta patrón (€),País,Sexo,Edad
534,07/01/2024,Cupido,Amor,Alta,Mediano,6,39.25,5.0,Guatemala,Mujer,36
535,23/02/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,11.5,5.0,España,Hombre,56
536,24/06/2024,Oso panda,Llavero,Baja,Pequeño,2,11.93,3.5,México,Hombre,49
537,01/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,15.25,5.0,Bolivia,Hombre,24
538,10/11/2024,Oso panda,Llavero,Baja,Pequeño,2,24.02,3.5,Canadá,Mujer,49
539,28/08/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,34.17,5.0,Guatemala,Hombre,53
540,13/03/2024,Rana,Llavero,Baja,Pequeño,1,10.19,3.5,Estados Unidos,Mujer,18
541,10/01/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,14.01,5.0,Australia,Mujer,58
542,27/06/2024,Oso corazón,Amor,Media,Mediano,4,6.2,5.0,Brasil,Mujer,37
543,12/08/2024,Papa Noel,Navidad,Alta,Grande,7,7.22,7.5,Bolivia,Hombre,41
544,14/07/2024,Rana,Llavero,Baja,Pequeño,1,47.92,3.5,Honduras,Mujer,43
545,04/05/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,48.93,5.0,Reino Unido,Mujer,62
546,18/12/2024,Oso navideño,Navidad,Media,Mediano,4,36.53,5.0,Guatemala,Hombre,62
547,24/05/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,47.04,5.0,España,Hombre,57
548,20/11/2024,Oso navideño,Navidad,Media,Mediano,4,31.97,5.0,Ecuador,Mujer,41
549,04/08/2024,Oso corazón,Amor,Media,Mediano,4,7.86,5.0,España,Mujer,70
550,28/02/2024,Oso navideño,Navidad,Media,Mediano,4,49.48,5.0,Venezuela,Hombre,59
551,28/04/2024,Oso panda,Llavero,Baja,Pequeño,2,40.95,3.5,Honduras,Mujer,27
552,10/08/2024,Oso panda,Llavero,Baja,Pequeño,2,40.79,3.5,Noruega,Mujer,19
553,10/11/2024,Oso navideño,Navidad,Media,Mediano,4,18.06,5.0,Cuba,Mujer,58
554,18/01/2024,Oso corazón,Amor,Media,Mediano,4,40.27,5.0,Nicaragua,Mujer,31
555,22/07/2024,Oso corazón,Amor,Media,Mediano,4,7.5,5.0,Cuba,Mujer,31
556,11/05/2024,Oso navideño,Navidad,Media,Mediano,4,16.76,5.0,Francia,Mujer,38
557,27/03/2024,Cupido,Amor,Alta,Mediano,6,35.72,5.0,Panamá,Hombre,65
558,20/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,39.88,5.0,Bolivia,Hombre,51
559,08/08/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,27.05,5.0,Colombia,Mujer,25
560,15/06/2024,Gnomo,Otoño,Media,Mediano,5,23.95,5.0,Paraguay,Mujer,59
561,10/09/2024,Papa Noel,Navidad,Alta,Grande,7,45.08,7.5,Ecuador,Mujer,61
562,07/03/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,38.96,5.0,Uruguay,Hombre,61
563,11/05/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,18.13,5.0,Guatemala,Mujer,22
564,08/08/2024,Oso navideño,Navidad,Media,Mediano,4,16.01,5.0,Chile,Mujer,23
565,23/03/2024,Papa Noel,Navidad,Alta,Grande,7,30.95,7.5,México,Mujer,46
566,12/01/2024,Oso panda,Llavero,Baja,Pequeño,2,26.33,3.5,México,Mujer,60
567,17/08/2024,Oso navideño,Navidad,Media,Mediano,4,6.81,5.0,Colombia,Mujer,45
568,05/10/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,33.48,5.0,El Salvador,Mujer,37
569,23/01/2024,Oso corazón,Amor,Media,Mediano,4,47.98,5.0,Guatemala,Mujer,56
570,20/11/2024,Oso panda,Llavero,Baja,Pequeño,2,48.27,3.5,Perú,Mujer,30
571,06/10/2024,Oso panda,Llavero,Baja,Pequeño,2,27.5,3.5,Venezuela,Hombre,33
572,11/06/2024,Oso corazón,Amor,Media,Mediano,4,36.3,5.0,México,Hombre,41
573,27/04/2024,Oso corazón,Amor,Media,Mediano,4,14.05,5.0,El Salvador,Hombre,62
574,09/10/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,29.36,5.0,Portugal,Mujer,27
575,17/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,28.24,5.0,Nicaragua,Mujer,25
576,21/08/2024,Oso navideño,Navidad,Media,Mediano,4,31.33,5.0,Rusia,Mujer,32
577,22/12/2024,Oso navideño,Navidad,Media,Mediano,4,6.88,5.0,Venezuela,Hombre,52
578,04/08/2024,Oso panda,Llavero,Baja,Pequeño,2,30.51,3.5,República Dominicana,Mujer,60
579,20/05/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,19.62,5.0,Guatemala,Hombre,33
580,21/05/2024,Oso panda,Llavero,Baja,Pequeño,2,8.11,3.5,Argentina,Hombre,37
581,22/01/2024,Oso corazón,Amor,Media,Mediano,4,31.16,5.0,Guatemala,Hombre,53
582,20/12/2024,Oso corazón,Amor,Media,Mediano,4,41.63,5.0,Nicaragua,Mujer,56
583,25/01/2024,Oso navideño,Navidad,Media,Mediano,4,47.8,5.0,Perú,Mujer,61
584,08/01/2024,Oso navideño,Navidad,Media,Mediano,4,15.52,5.0,Panamá,Mujer,37
585,19/03/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,33.56,5.0,Colombia,Mujer,66
586,15/09/2024,Oso navideño,Navidad,Media,Mediano,4,31.04,5.0,Chile,Hombre,41
587,28/08/2024,Oso panda,Llavero,Baja,Pequeño,2,22.18,3.5,Venezuela,Mujer,56
588,17/02/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,33.53,5.0,Cuba,Mujer,20
589,05/06/2024,Oso corazón,Amor,Media,Mediano,4,14.84,5.0,El Salvador,Hombre,70
590,28/11/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,13.48,5.0,Paraguay,Mujer,50
591,01/03/2024,Oso corazón,Amor,Media,Mediano,4,21.18,5.0,Panamá,Mujer,30
592,07/12/2024,Oso corazón,Amor,Media,Mediano,4,33.19,5.0,Venezuela,Mujer,34
593,28/07/2024,Oso panda,Llavero,Baja,Pequeño,2,7.05,3.5,Australia,Hombre,23
594,09/07/2024,Oso corazón,Amor,Media,Mediano,4,14.36,5.0,Guatemala,Hombre,39
595,20/05/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,15.12,5.0,Paraguay,Mujer,27
596,05/09/2024,Oso navideño,Navidad,Media,Mediano,4,38.34,5.0,Costa Rica,Mujer,44
597,06/03/2024,Oso corazón,Amor,Media,Mediano,4,9.6,5.0,China,Mujer,49
598,21/01/2024,Rana,Llavero,Baja,Pequeño,1,44.82,3.5,Perú,Mujer,44
599,23/08/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,5.9,5.0,México,Hombre,19
600,17/04/2024,Papa Noel,Navidad,Alta,Grande,7,37.88,7.5,Colombia,Mujer,51
601,19/03/2024,Oso corazón,Amor,Media,Mediano,4,17.06,5.0,Chile,Mujer,31
602,27/08/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,40.08,5.0,China,Hombre,50
603,05/12/2024,Gnomo,Otoño,Media,Mediano,5,45.9,5.0,Nicaragua,Hombre,67
604,06/12/2024,Oso navideño,Navidad,Media,Mediano,4,22.44,5.0,México,Mujer,39
605,24/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,20.64,5.0,Honduras,Hombre,46
606,07/11/2024,Gnomo,Otoño,Media,Mediano,5,25.33,5.0,Panamá,Mujer,21
607,26/06/2024,Oso panda,Llavero,Baja,Pequeño,2,8.13,3.5,Turquía,Hombre,38
608,10/11/2024,Oso corazón,Amor,Media,Mediano,4,33.31,5.0,Bolivia,Mujer,66
609,05/04/2024,Oso corazón,Amor,Media,Mediano,4,12.34,5.0,El Salvador,Mujer,48
610,06/03/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,49.0,5.0,España,Mujer,19
611,18/10/2024,Oso corazón,Amor,Media,Mediano,4,49.53,5.0,Argentina,Mujer,62
612,25/04/2024,Papa Noel,Navidad,Alta,Grande,7,17.38,7.5,El Salvador,Hombre,56
613,24/11/2024,Oso corazón,Amor,Media,Mediano,4,47.93,5.0,Panamá,Mujer,38
614,19/08/2024,Oso corazón,Amor,Media,Mediano,4,12.13,5.0,Panamá,Mujer,43
615,18/11/2024,Oso navideño,Navidad,Media,Mediano,4,5.09,5.0,Portugal,Mujer,18
616,13/02/2024,Oso corazón,Amor,Media,Mediano,4,38.22,5.0,Cuba,Mujer,41
617,19/07/2024,Oso corazón,Amor,Media,Mediano,4,45.68,5.0,Perú,Hombre,46
618,01/08/2024,Rana,Llavero,Baja,Pequeño,1,11.54,3.5,Argentina,Mujer,70
619,01/07/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,18.18,5.0,Panamá,Mujer,48
620,01/12/2024,Oso panda,Llavero,Baja,Pequeño,2,11.69,3.5,Australia,Mujer,36
621,20/09/2024,Oso panda,Llavero,Baja,Pequeño,2,26.55,3.5,Cuba,Mujer,41
622,27/02/2024,Oso navideño,Navidad,Media,Mediano,4,5.9,5.0,México,Mujer,56
623,03/02/2024,Oso panda,Llavero,Baja,Pequeño,2,26.96,3.5,México,Mujer,49
624,06/04/2024,Oso navideño,Navidad,Media,Mediano,4,26.09,5.0,Noruega,Mujer,65
625,19/05/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,39.95,5.0,Perú,Hombre,56
626,02/11/2024,Cupido,Amor,Alta,Mediano,6,21.46,5.0,Japón,Hombre,42
627,18/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,38.58,5.0,Paraguay,Mujer,56
628,12/04/2024,Oso navideño,Navidad,Media,Mediano,4,41.22,5.0,Rusia,Mujer,52
629,22/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,29.46,5.0,Rusia,Mujer,62
630,03/07/2024,Oso corazón,Amor,Media,Mediano,4,24.02,5.0,Nicaragua,Hombre,35
631,03/11/2024,Oso panda,Llavero,Baja,Pequeño,2,34.81,3.5,Colombia,Mujer,65
632,17/10/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,38.52,5.0,República Dominicana,Hombre,47
633,28/03/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,8.9,5.0,Sudáfrica,Mujer,24
634,06/01/2024,Oso navideño,Navidad,Media,Mediano,4,16.4,5.0,España,Mujer,23
635,25/06/2024,Oso corazón,Amor,Media,Mediano,4,9.26,5.0,Paraguay,Hombre,39
636,05/05/2024,Oso corazón,Amor,Media,Mediano,4,41.19,5.0,Honduras,Mujer,23
637,22/05/2024,Oso navideño,Navidad,Media,Mediano,4,16.54,5.0,Ecuador,Hombre,66
638,08/08/2024,Papa Noel,Navidad,Alta,Grande,7,18.83,7.5,Uruguay,Mujer,68
639,09/01/2024,Rana,Llavero,Baja,Pequeño,1,37.34,3.5,Rusia,Mujer,19
640,17/09/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,17.73,5.0,Colombia,Mujer,58
641,12/12/2024,Oso corazón,Amor,Media,Mediano,4,44.07,5.0,El Salvador,Mujer,67
642,26/08/2024,Oso navideño,Navidad,Media,Mediano,4,43.53,5.0,Colombia,Mujer,26
643,10/09/2024,Rana,Llavero,Baja,Pequeño,1,12.75,3.5,Honduras,Mujer,48
644,14/05/2024,Oso corazón,Amor,Media,Mediano,4,10.37,5.0,El Salvador,Hombre,60
645,10/04/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,39.14,5.0,Cuba,Mujer,62
646,14/11/2024,Oso corazón,Amor,Media,Mediano,4,26.97,5.0,Canadá,Hombre,29
647,01/07/2024,Oso panda,Llavero,Baja,Pequeño,2,6.96,3.5,Italia,Mujer,59
648,06/07/2024,Oso corazón,Amor,Media,Mediano,4,35.49,5.0,España,Hombre,
649,23/05/2024,Cupido,Amor,Alta,Mediano,6,44.01,5.0,Perú,Mujer,39
650,28/12/2024,Oso corazón,Amor,Media,Mediano,4,38.6,5.0,Nicaragua,Mujer,31
651,17/10/2024,Rana,Llavero,Baja,Pequeño,1,19.07,3.5,Colombia,Hombre,35
652,07/07/2024,Cupido,Amor,Alta,Mediano,6,39.74,5.0,Argentina,Hombre,59
653,16/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,49.73,5.0,Canadá,Hombre,
654,25/01/2024,Oso corazón,Amor,Media,Mediano,4,17.54,5.0,Egipto,Mujer,39
655,26/07/2024,Oso panda,Llavero,Baja,Pequeño,2,17.11,3.5,República Dominicana,Hombre,52
656,02/07/2024,Papa Noel,Navidad,Alta,Grande,7,32.75,7.5,Australia,Mujer,53
657,11/11/2024,Oso corazón,Amor,Media,Mediano,4,32.05,5.0,Costa Rica,Mujer,33
658,25/11/2024,Oso corazón,Amor,Media,Mediano,4,12.38,5.0,Ecuador,Hombre,25
659,22/07/2024,Oso corazón,Amor,Media,Mediano,4,46.7,5.0,Costa Rica,Mujer,39
660,27/11/2024,Oso navideño,Navidad,Media,Mediano,4,16.86,5.0,El Salvador,Mujer,69
661,20/10/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,14.43,5.0,El Salvador,Mujer,47
662,01/11/2024,Oso corazón,Amor,Media,Mediano,4,29.93,5.0,Chile,Mujer,37
663,14/10/2024,Rana,Llavero,Baja,Pequeño,1,20.99,3.5,Alemania,Mujer,39
664,10/03/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,12.53,5.0,Brasil,Mujer,49
665,08/04/2024,Oso corazón,Amor,Media,Mediano,4,32.95,5.0,El Salvador,Hombre,50
666,18/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,33.04,5.0,China,Mujer,56
667,10/04/2024,Oso corazón,Amor,Media,Mediano,4,41.76,5.0,El Salvador,Hombre,52
668,26/03/2024,Oso panda,Llavero,Baja,Pequeño,2,34.86,3.5,República Dominicana,Mujer,47
669,13/01/2024,Oso corazón,Amor,Media,Mediano,4,36.77,5.0,Colombia,Mujer,51
670,04/03/2024,Oso corazón,Amor,Media,Mediano,4,38.32,5.0,Uruguay,Hombre,58
671,11/04/2024,Gnomo,Otoño,Media,Mediano,5,12.07,5.0,Nicaragua,Mujer,44
672,10/11/2024,Oso navideño,Navidad,Media,Mediano,4,49.56,5.0,Cuba,Mujer,59
673,12/11/2024,Oso panda,Llavero,Baja,Pequeño,2,32.03,3.5,Colombia,Hombre,24
674,13/12/2024,Oso navideño,Navidad,Media,Mediano,4,22.04,5.0,España,Mujer,50
675,28/08/2024,Oso navideño,Navidad,Media,Mediano,4,32.84,5.0,Colombia,Mujer,42
676,05/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,30.97,5.0,Colombia,Hombre,23
677,09/01/2024,Oso panda,Llavero,Baja,Pequeño,2,42.24,3.5,Paraguay,Hombre,67
678,25/09/2024,Oso navideño,Navidad,Media,Mediano,4,33.02,5.0,Panamá,Mujer,44
679,14/05/2024,Oso navideño,Navidad,Media,Mediano,4,10.87,5.0,Reino Unido,Hombre,58
680,26/02/2024,Oso corazón,Amor,Media,Mediano,4,31.71,5.0,Colombia,Mujer,34
681,12/04/2024,Oso navideño,Navidad,Media,Mediano,4,17.61,5.0,Guatemala,Hombre,62
682,22/12/2024,Oso panda,Llavero,Baja,Pequeño,2,19.15,3.5,Honduras,Hombre,62
683,04/08/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,25.26,5.0,Noruega,Hombre,29
684,10/07/2024,Oso corazón,Amor,Media,Mediano,4,10.21,5.0,República Dominicana,Mujer,64
685,19/07/2024,Oso corazón,Amor,Media,Mediano,4,28.57,5.0,Corea del Sur,Hombre,19
686,16/07/2024,Oso panda,Llavero,Baja,Pequeño,2,24.88,3.5,Costa Rica,Mujer,62
687,10/06/2024,Papa Noel,Navidad,Alta,Grande,7,5.7,7.5,Cuba,Mujer,26
688,26/04/2024,Oso corazón,Amor,Media,Mediano,4,14.42,5.0,El Salvador,Mujer,62
689,05/12/2024,Oso navideño,Navidad,Media,Mediano,4,13.68,5.0,Guatemala,Mujer,59
690,03/10/2024,Papa Noel,Navidad,Alta,Grande,7,40.14,7.5,Costa Rica,Hombre,49
691,09/10/2024,Oso panda,Llavero,Baja,Pequeño,2,20.43,3.5,Costa Rica,Hombre,31
692,08/11/2024,Oso corazón,Amor,Media,Mediano,4,36.92,5.0,Nicaragua,Mujer,54
693,07/10/2024,Oso corazón,Amor,Media,Mediano,4,45.37,5.0,Venezuela,Mujer,59
694,11/06/2024,Oso panda,Llavero,Baja,Pequeño,2,41.43,3.5,Portugal,Mujer,62
695,17/04/2024,Oso corazón,Amor,Media,Mediano,4,44.7,5.0,Italia,Hombre,32
696,01/05/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,40.76,5.0,Guatemala,Hombre,28
697,22/01/2024,Oso corazón,Amor,Media,Mediano,4,31.3,5.0,España,Mujer,67
698,18/11/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,5.91,5.0,Colombia,Mujer,65
699,14/04/2024,Cupido,Amor,Alta,Mediano,6,47.21,5.0,Panamá,Mujer,70
700,09/06/2024,Papa Noel,Navidad,Alta,Grande,7,8.26,7.5,Bolivia,Mujer,55
701,24/06/2024,Oso corazón,Amor,Media,Mediano,4,31.72,5.0,Bolivia,Mujer,41
702,08/01/2024,Oso panda,Llavero,Baja,Pequeño,2,44.58,3.5,Chile,Hombre,36
703,21/02/2024,Oso corazón,Amor,Media,Mediano,4,14.89,5.0,Honduras,Mujer,62
704,10/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,21.99,5.0,Panamá,Mujer,26
705,15/03/2024,Oso navideño,Navidad,Media,Mediano,4,32.09,5.0,Nicaragua,Hombre,36
706,05/01/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,18.58,5.0,Honduras,Mujer,46
707,16/02/2024,Oso panda,Llavero,Baja,Pequeño,2,41.17,3.5,Ecuador,Mujer,33
708,10/02/2024,Rana,Llavero,Baja,Pequeño,1,35.87,3.5,China,Hombre,34
709,15/07/2024,Oso navideño,Navidad,Media,Mediano,4,28.88,5.0,Portugal,Mujer,42
710,14/10/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,49.31,5.0,Ecuador,Hombre,52
711,13/07/2024,Oso corazón,Amor,Media,Mediano,4,20.76,5.0,Estados Unidos,Mujer,31
712,16/12/2024,Oso panda,Llavero,Baja,Pequeño,2,23.03,3.5,Colombia,Mujer,44
713,08/05/2024,Papa Noel,Navidad,Alta,Grande,7,11.47,7.5,Nicaragua,Mujer,36
714,04/10/2024,Papa Noel,Navidad,Alta,Grande,7,20.29,7.5,Venezuela,Mujer,54
715,20/02/2024,Oso navideño,Navidad,Media,Mediano,4,31.58,5.0,Francia,Mujer,30
716,17/08/2024,Oso corazón,Amor,Media,Mediano,4,12.79,5.0,Perú,Hombre,47
717,15/06/2024,Oso panda,Llavero,Baja,Pequeño,2,41.18,3.5,Reino Unido,Mujer,37
718,16/08/2024,Oso panda,Llavero,Baja,Pequeño,2,23.06,3.5,China,Mujer,69
719,28/01/2024,Oso panda,Llavero,Baja,Pequeño,2,34.42,3.5,Perú,Hombre,23
720,22/01/2024,Oso panda,Llavero,Baja,Pequeño,2,9.19,3.5,Cuba,Mujer,21
721,02/12/2024,Oso navideño,Navidad,Media,Mediano,4,43.26,5.0,Argentina,Mujer,48
722,26/10/2024,Gnomo,Otoño,Media,Mediano,5,12.01,5.0,Venezuela,Mujer,52
723,20/09/2024,Oso panda,Llavero,Baja,Pequeño,2,37.35,3.5,Nicaragua,Hombre,67
724,14/08/2024,Oso panda,Llavero,Baja,Pequeño,2,12.36,3.5,Argentina,Mujer,46
725,26/04/2024,Oso corazón,Amor,Media,Mediano,4,36.91,5.0,Cuba,Mujer,21
726,23/09/2024,Oso navideño,Navidad,Media,Mediano,4,18.22,5.0,Guatemala,Mujer,41
727,21/07/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,41.13,5.0,Cuba,Mujer,24
728,22/01/2024,Oso navideño,Navidad,Media,Mediano,4,36.26,5.0,Venezuela,Mujer,19
729,16/09/2024,Oso panda,Llavero,Baja,Pequeño,2,35.99,3.5,Suecia,Mujer,42
730,15/12/2024,Oso corazón,Amor,Media,Mediano,4,26.59,5.0,Venezuela,Mujer,25
731,13/05/2024,Oso navideño,Navidad,Media,Mediano,4,34.17,5.0,Italia,Mujer,26
732,10/09/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,40.98,5.0,Nicaragua,Hombre,46
733,01/05/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,14.5,5.0,Canadá,Mujer,35
734,10/03/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,22.07,5.0,Perú,Hombre,49
735,25/04/2024,Oso panda,Llavero,Baja,Pequeño,2,25.96,3.5,Turquía,Hombre,70
736,12/01/2024,Papa Noel,Navidad,Alta,Grande,7,39.62,7.5,Bolivia,Hombre,67
737,20/03/2024,Rana,Llavero,Baja,Pequeño,1,38.8,3.5,Chile,Mujer,46
738,07/01/2024,Oso navideño,Navidad,Media,Mediano,4,7.83,5.0,Ecuador,Mujer,20
739,24/04/2024,Oso corazón,Amor,Media,Mediano,4,41.04,5.0,Cuba,Hombre,36
740,12/10/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,47.89,5.0,Paraguay,Mujer,45
741,20/05/2024,Oso navideño,Navidad,Media,Mediano,4,19.86,5.0,Costa Rica,Hombre,37
742,28/08/2024,Cupido,Amor,Alta,Mediano,6,23.99,5.0,Perú,Mujer,22
743,10/11/2024,Oso navideño,Navidad,Media,Mediano,4,8.65,5.0,Panamá,Hombre,51
744,10/08/2024,Oso corazón,Amor,Media,Mediano,4,31.83,5.0,Canadá,Mujer,19
745,24/10/2024,Oso navideño,Navidad,Media,Mediano,4,47.32,5.0,España,Hombre,19
746,05/09/2024,Oso corazón,Amor,Media,Mediano,4,11.45,5.0,China,Mujer,63
747,05/02/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,12.77,5.0,India,Hombre,40
748,18/11/2024,Oso navideño,Navidad,Media,Mediano,4,12.29,5.0,El Salvador,Mujer,24
749,14/10/2024,Oso corazón,Amor,Media,Mediano,4,36.9,5.0,México,Mujer,39
750,11/05/2024,Oso panda,Llavero,Baja,Pequeño,2,36.96,3.5,China,Mujer,50
751,16/11/2024,Oso panda,Llavero,Baja,Pequeño,2,23.33,3.5,Cuba,Hombre,68
752,28/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,7.14,5.0,Honduras,Mujer,22
753,22/07/2024,Papa Noel,Navidad,Alta,Grande,7,19.62,7.5,Uruguay,Mujer,34
754,18/01/2024,Oso corazón,Amor,Media,Mediano,4,31.69,5.0,Paraguay,Mujer,52
755,05/01/2024,Oso navideño,Navidad,Media,Mediano,4,24.33,5.0,México,Mujer,68
756,08/10/2024,Oso panda,Llavero,Baja,Pequeño,2,40.17,3.5,Cuba,Hombre,57
757,10/02/2024,Papa Noel,Navidad,Alta,Grande,7,8.26,7.5,Venezuela,Mujer,31
758,03/01/2024,Oso panda,Llavero,Baja,Pequeño,2,24.05,3.5,Reino Unido,Mujer,43
759,03/03/2024,Oso corazón,Amor,Media,Mediano,4,15.48,5.0,Perú,Hombre,38
760,24/08/2024,Oso panda,Llavero,Baja,Pequeño,2,49.36,3.5,México,Hombre,26
761,12/10/2024,Oso navideño,Navidad,Media,Mediano,4,5.4,5.0,Costa Rica,Mujer,26
762,27/01/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,36.39,5.0,Guatemala,Hombre,50
763,09/06/2024,Oso corazón,Amor,Media,Mediano,4,22.46,5.0,Bolivia,Hombre,27
764,04/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,37.97,5.0,Guatemala,Hombre,50
765,14/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,6.9,5.0,Venezuela,Mujer,29
766,28/01/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,13.09,5.0,Reino Unido,Mujer,31
767,04/08/2024,Oso panda,Llavero,Baja,Pequeño,2,25.14,3.5,Suecia,Mujer,48
768,06/06/2024,Oso panda,Llavero,Baja,Pequeño,2,25.74,3.5,Portugal,Mujer,66
769,02/11/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,42.76,5.0,Argentina,Hombre,69
770,02/01/2024,Oso panda,Llavero,Baja,Pequeño,2,17.23,3.5,Paraguay,Mujer,46
771,10/08/2024,Oso navideño,Navidad,Media,Mediano,4,36.14,5.0,Perú,Mujer,??
772,15/10/2024,Oso navideño,Navidad,Media,Mediano,4,36.45,5.0,Honduras,Mujer,63
773,05/10/2024,Oso corazón,Amor,Media,Mediano,4,46.27,5.0,Chile,Mujer,64
774,23/10/2024,Oso navideño,Navidad,Media,Mediano,4,24.48,5.0,El Salvador,Mujer,53
775,14/04/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,26.39,5.0,México,Hombre,59
776,21/02/2024,Oso navideño,Navidad,Media,Mediano,4,18.92,5.0,Paraguay,Mujer,25
777,24/01/2024,Oso corazón,Amor,Media,Mediano,4,21.13,5.0,España,Mujer,22
778,11/02/2024,Oso corazón,Amor,Media,Mediano,4,15.92,5.0,Guatemala,Hombre,23
779,20/04/2024,Oso corazón,Amor,Media,Mediano,4,44.69,5.0,El Salvador,Hombre,39
780,13/06/2024,Gnomo,Otoño,Media,Mediano,5,25.62,5.0,Costa Rica,Mujer,35
781,14/09/2024,Oso panda,Llavero,Baja,Pequeño,2,47.09,3.5,Brasil,Hombre,44
782,13/02/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,27.47,5.0,México,Hombre,66
783,28/08/2024,Oso panda,Llavero,Baja,Pequeño,2,25.87,3.5,Panamá,Mujer,19
784,10/06/2024,Oso navideño,Navidad,Media,Mediano,4,23.13,5.0,República Dominicana,Hombre,41
785,05/07/2024,Oso panda,Llavero,Baja,Pequeño,2,7.86,3.5,El Salvador,Mujer,27
786,28/06/2024,Oso corazón,Amor,Media,Mediano,4,31.3,5.0,Perú,Hombre,52
787,15/07/2024,Oso corazón,Amor,Media,Mediano,4,40.18,5.0,El Salvador,Mujer,66
788,04/03/2024,Oso panda,Llavero,Baja,Pequeño,2,20.46,3.5,Nigeria,Mujer,20
789,20/01/2024,Oso corazón,Amor,Media,Mediano,4,13.73,5.0,México,Mujer,52
790,11/01/2024,Oso corazón,Amor,Media,Mediano,4,39.02,5.0,Paraguay,Mujer,35
791,04/04/2024,Oso navideño,Navidad,Media,Mediano,4,31.5,5.0,Ecuador,Hombre,18
792,04/12/2024,Oso panda,Llavero,Baja,Pequeño,2,32.15,3.5,Chile,Mujer,27
793,08/10/2024,Oso navideño,Navidad,Media,Mediano,4,47.32,5.0,Panamá,Mujer,70
794,21/01/2024,Oso corazón,Amor,Media,Mediano,4,40.91,5.0,Guatemala,Hombre,20
795,25/11/2024,Oso navideño,Navidad,Media,Mediano,4,30.33,5.0,Italia,Hombre,20
796,12/07/2024,Oso panda,Llavero,Baja,Pequeño,2,11.47,3.5,Estados Unidos,Mujer,65
797,04/04/2024,Papa Noel,Navidad,Alta,Grande,7,17.28,7.5,Uruguay,Mujer,23
798,02/06/2024,Oso panda,Llavero,Baja,Pequeño,2,6.66,3.5,Perú,Mujer,34
799,03/02/2024,Oso navideño,Navidad,Media,Mediano,4,49.87,5.0,España,Mujer,59
800,11/04/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,31.67,5.0,Bolivia,Hombre,33
801,18/05/2024,Oso corazón,Amor,Media,Mediano,4,42.9,5.0,El Salvador,Mujer,49
